season,team,team_conference,opponent,opponent_conference,opponent_win_pct
2014,Wake Forest,ACC,UL Monroe,Sun Belt,0.3333333333333333
2014,Minnesota,Big Ten,Eastern Illinois,OVC,0.4166666666666667
2014,Ole Miss,SEC,Boise State,Mountain West,0.8571428571428571
2014,Rutgers,Big Ten,Washington State,Pac-12,0.25
2014,Vanderbilt,SEC,Temple,American Athletic,0.5
2014,Michigan State,Big Ten,Jacksonville State,OVC,0.8333333333333334
2014,Syracuse,ACC,Villanova,CAA,0.7857142857142857
2014,Penn State,Big Ten,UCF,American Athletic,0.6923076923076923
2014,Purdue,Big Ten,Western Michigan,Mid-American,0.6153846153846154
2014,Michigan,Big Ten,App State,Sun Belt,0.5833333333333334
2014,Ohio State,Big Ten,Navy,FBS Independents,0.6153846153846154
2014,Virginia,ACC,UCLA,Pac-12,0.7692307692307693
2014,Illinois,Big Ten,Youngstown State,MVFC,0.5833333333333334
2014,Iowa State,Big 12,North Dakota State,MVFC,0.9375
2014,Pittsburgh,ACC,Delaware,CAA,0.5
2014,Indiana,Big Ten,Indiana State,MVFC,0.5714285714285714
2014,Kentucky,SEC,UT Martin,OVC,0.5
2014,Iowa,Big Ten,Northern Iowa,MVFC,0.6428571428571429
2014,Georgia Tech,ACC,Wofford,Southern,0.5454545454545454
2014,NC State,ACC,Georgia Southern,Sun Belt,0.75
2014,Boston College,ACC,Massachusetts,Mid-American,0.25
2014,Maryland,Big Ten,James Madison,CAA,0.6923076923076923
2014,Nebraska,Big Ten,Florida Atlantic,Conference USA,0.25
2014,Northwestern,Big Ten,California,Pac-12,0.4166666666666667
2014,Alabama,SEC,West Virginia,Big 12,0.5384615384615384
2014,West Virginia,Big 12,Alabama,SEC,0.8571428571428571
2014,Missouri,SEC,South Dakota State,MVFC,0.6428571428571429
2014,Virginia Tech,ACC,William & Mary,CAA,0.5833333333333334
2014,Georgia,SEC,Clemson,ACC,0.7692307692307693
2014,Clemson,ACC,Georgia,SEC,0.7692307692307693
2014,Duke,ACC,Elon,CAA,0.08333333333333333
2014,North Carolina,ACC,Liberty,Big South,0.6428571428571429
2014,Oklahoma,Big 12,Louisiana Tech,Conference USA,0.6428571428571429
2014,TCU,Big 12,Samford,Southern,0.6
2014,Texas Tech,Big 12,Central Arkansas,Southland,0.5
2014,Kansas State,Big 12,Stephen F. Austin,Southland,0.5833333333333334
2014,Mississippi State,SEC,Southern Miss,Conference USA,0.25
2014,Texas,Big 12,North Texas,Conference USA,0.3333333333333333
2014,Oklahoma State,Big 12,Florida State,ACC,0.9285714285714286
2014,Florida State,ACC,Oklahoma State,Big 12,0.5384615384615384
2014,LSU,SEC,Wisconsin,Big Ten,0.7857142857142857
2014,Wisconsin,Big Ten,LSU,SEC,0.6153846153846154
2014,Tennessee,SEC,Utah State,Mountain West,0.7142857142857143
2014,Baylor,Big 12,SMU,American Athletic,0.08333333333333333
2014,Tennessee,SEC,Arkansas State,Sun Belt,0.5384615384615384
2014,Missouri,SEC,Toledo,Mid-American,0.6923076923076923
2014,Alabama,SEC,Florida Atlantic,Conference USA,0.25
2014,Nebraska,Big Ten,McNeese,Southland,0.5454545454545454
2014,Oklahoma,Big 12,Tulsa,American Athletic,0.16666666666666666
2014,Rutgers,Big Ten,Howard,MEAC,0.4166666666666667
2014,Wisconsin,Big Ten,Western Illinois,MVFC,0.4166666666666667
2014,Illinois,Big Ten,Western Kentucky,Conference USA,0.6153846153846154
2014,Penn State,Big Ten,Akron,Mid-American,0.4166666666666667
2014,Purdue,Big Ten,Central Michigan,Mid-American,0.5384615384615384
2014,Clemson,ACC,South Carolina State,MEAC,0.6666666666666666
2014,Mississippi State,SEC,UAB,Conference USA,0.5
2014,Iowa,Big Ten,Ball State,Mid-American,0.4166666666666667
2014,Northwestern,Big Ten,Northern Illinois,Mid-American,0.7857142857142857
2014,Kentucky,SEC,Ohio,Mid-American,0.5
2014,Minnesota,Big Ten,Middle Tennessee,Conference USA,0.5
2014,Virginia,ACC,Richmond,CAA,0.6428571428571429
2014,Oklahoma State,Big 12,Missouri State,MVFC,0.3333333333333333
2014,Maryland,Big Ten,South Florida,American Athletic,0.3333333333333333
2014,Arkansas,SEC,Nicholls,Southland,0.0
2014,Georgia Tech,ACC,Tulane,American Athletic,0.25
2014,Florida,SEC,Eastern Michigan,Mid-American,0.16666666666666666
2014,NC State,ACC,Old Dominion,Conference USA,0.5
2014,Wake Forest,ACC,Gardner-Webb,Big South,0.3333333333333333
2014,Michigan State,Big Ten,Oregon,Pac-12,0.8666666666666667
2014,Auburn,SEC,San José State,Mountain West,0.25
2014,Miami,ACC,Florida A&M,MEAC,0.25
2014,Kansas,Big 12,Southeast Missouri State,OVC,0.4166666666666667
2014,South Carolina,SEC,East Carolina,American Athletic,0.6153846153846154
2014,Louisville,ACC,Murray State,OVC,0.25
2014,Duke,ACC,Troy,Sun Belt,0.25
2014,Texas,Big 12,BYU,FBS Independents,0.6153846153846154
2014,West Virginia,Big 12,Towson,CAA,0.3333333333333333
2014,Texas A&M,SEC,Lamar,Southland,0.6
2014,LSU,SEC,Sam Houston,Southland,0.7333333333333333
2014,Baylor,Big 12,Northwestern State,Southland,0.5
2014,Florida State,ACC,The Citadel,Southern,0.36363636363636365
2014,Michigan,Big Ten,Notre Dame,FBS Independents,0.6153846153846154
2014,North Carolina,ACC,San Diego State,Mountain West,0.5384615384615384
2014,Ohio State,Big Ten,Virginia Tech,ACC,0.5384615384615384
2014,Virginia Tech,ACC,Ohio State,Big Ten,0.9333333333333333
2014,Texas Tech,Big 12,UTEP,Conference USA,0.5384615384615384
2014,Baylor,Big 12,Buffalo,Mid-American,0.45454545454545453
2014,Pittsburgh,ACC,Florida International,Conference USA,0.3333333333333333
2014,Maryland,Big Ten,West Virginia,Big 12,0.5384615384615384
2014,West Virginia,Big 12,Maryland,Big Ten,0.5384615384615384
2014,Virginia Tech,ACC,East Carolina,American Athletic,0.6153846153846154
2014,Vanderbilt,SEC,Massachusetts,Mid-American,0.25
2014,Missouri,SEC,UCF,American Athletic,0.6923076923076923
2014,Syracuse,ACC,Central Michigan,Mid-American,0.5384615384615384
2014,Indiana,Big Ten,Bowling Green,Mid-American,0.5714285714285714
2014,Ohio State,Big Ten,Kent State,Mid-American,0.18181818181818182
2014,Georgia Tech,ACC,Georgia Southern,Sun Belt,0.75
2014,Miami,ACC,Arkansas State,Sun Belt,0.5384615384615384
2014,NC State,ACC,South Florida,American Athletic,0.3333333333333333
2014,Iowa,Big Ten,Iowa State,Big 12,0.16666666666666666
2014,Iowa State,Big 12,Iowa,Big Ten,0.5384615384615384
2014,Michigan,Big Ten,Miami (OH),Mid-American,0.16666666666666666
2014,Duke,ACC,Kansas,Big 12,0.25
2014,Kansas,Big 12,Duke,ACC,0.6923076923076923
2014,Texas Tech,Big 12,Arkansas,SEC,0.5384615384615384
2014,Arkansas,SEC,Texas Tech,Big 12,0.3333333333333333
2014,Illinois,Big Ten,Washington,Pac-12,0.5714285714285714
2014,TCU,Big 12,Minnesota,Big Ten,0.6153846153846154
2014,Minnesota,Big Ten,TCU,Big 12,0.9230769230769231
2014,Ole Miss,SEC,Louisiana,Sun Belt,0.6923076923076923
2014,Mississippi State,SEC,South Alabama,Sun Belt,0.46153846153846156
2014,Alabama,SEC,Southern Miss,Conference USA,0.25
2014,Oklahoma State,Big 12,UTSA,Conference USA,0.3333333333333333
2014,Wake Forest,ACC,Utah State,Mountain West,0.7142857142857143
2014,LSU,SEC,UL Monroe,Sun Belt,0.3333333333333333
2014,Purdue,Big Ten,Notre Dame,FBS Independents,0.6153846153846154
2014,Oklahoma,Big 12,Tennessee,SEC,0.5384615384615384
2014,Tennessee,SEC,Oklahoma,Big 12,0.6153846153846154
2014,Boston College,ACC,USC,Pac-12,0.6923076923076923
2014,Texas,Big 12,UCLA,Pac-12,0.7692307692307693
2014,Texas A&M,SEC,Rice,Conference USA,0.6153846153846154
2014,Nebraska,Big Ten,Fresno State,Mountain West,0.42857142857142855
2014,Kansas State,Big 12,Auburn,SEC,0.6153846153846154
2014,Auburn,SEC,Kansas State,Big 12,0.6923076923076923
2014,Pittsburgh,ACC,Iowa,Big Ten,0.5384615384615384
2014,Iowa,Big Ten,Pittsburgh,ACC,0.46153846153846156
2014,Wisconsin,Big Ten,Bowling Green,Mid-American,0.5714285714285714
2014,Georgia,SEC,Troy,Sun Belt,0.25
2014,Michigan State,Big Ten,Eastern Michigan,Mid-American,0.16666666666666666
2014,Purdue,Big Ten,Southern Illinois,MVFC,0.5
2014,Northwestern,Big Ten,Western Illinois,MVFC,0.4166666666666667
2014,Syracuse,ACC,Maryland,Big Ten,0.5384615384615384
2014,Maryland,Big Ten,Syracuse,ACC,0.25
2014,Duke,ACC,Tulane,American Athletic,0.25
2014,Boston College,ACC,Maine,CAA,0.45454545454545453
2014,North Carolina,ACC,East Carolina,American Athletic,0.6153846153846154
2014,Kansas,Big 12,Central Michigan,Mid-American,0.5384615384615384
2014,Michigan,Big Ten,Utah,Pac-12,0.6923076923076923
2014,Texas A&M,SEC,SMU,American Athletic,0.08333333333333333
2014,Louisville,ACC,Florida International,Conference USA,0.3333333333333333
2014,Wake Forest,ACC,Army,FBS Independents,0.3333333333333333
2014,Virginia,ACC,BYU,FBS Independents,0.6153846153846154
2014,Rutgers,Big Ten,Navy,FBS Independents,0.6153846153846154
2014,Missouri,SEC,Indiana,Big Ten,0.3333333333333333
2014,Indiana,Big Ten,Missouri,SEC,0.7857142857142857
2014,Minnesota,Big Ten,San José State,Mountain West,0.25
2014,Penn State,Big Ten,Massachusetts,Mid-American,0.25
2014,Illinois,Big Ten,Texas State,Sun Belt,0.5833333333333334
2014,NC State,ACC,Presbyterian,Big South,0.5454545454545454
2014,Arkansas,SEC,Northern Illinois,Mid-American,0.7857142857142857
2014,Nebraska,Big Ten,Miami,ACC,0.46153846153846156
2014,Miami,ACC,Nebraska,Big Ten,0.6923076923076923
2014,Michigan State,Big Ten,Wyoming,Mountain West,0.3333333333333333
2014,Rutgers,Big Ten,Tulane,American Athletic,0.25
2014,TCU,Big 12,SMU,American Athletic,0.08333333333333333
2014,Wisconsin,Big Ten,South Florida,American Athletic,0.3333333333333333
2014,Kansas State,Big 12,UTEP,Conference USA,0.5384615384615384
2014,Virginia Tech,ACC,Western Michigan,Mid-American,0.6153846153846154
2014,Boston College,ACC,Colorado State,Mountain West,0.7692307692307693
2014,Pittsburgh,ACC,Akron,Mid-American,0.4166666666666667
2014,Virginia,ACC,Kent State,Mid-American,0.18181818181818182
2014,Auburn,SEC,Louisiana Tech,Conference USA,0.6428571428571429
2014,Ohio State,Big Ten,Cincinnati,American Athletic,0.6923076923076923
2014,LSU,SEC,New Mexico State,Sun Belt,0.16666666666666666
2014,Ole Miss,SEC,Memphis,American Athletic,0.7692307692307693
2014,Syracuse,ACC,Notre Dame,FBS Independents,0.6153846153846154
2014,Indiana,Big Ten,North Texas,Conference USA,0.3333333333333333
2014,Kentucky,SEC,UL Monroe,Sun Belt,0.3333333333333333
2014,Miami,ACC,Cincinnati,American Athletic,0.6923076923076923
2014,Iowa State,Big 12,Toledo,Mid-American,0.6923076923076923
2014,North Carolina,ACC,Notre Dame,FBS Independents,0.6153846153846154
2014,Tennessee,SEC,Chattanooga,Southern,0.7142857142857143
2014,Vanderbilt,SEC,Charleston Southern,Big South,0.6666666666666666
2014,South Carolina,SEC,Furman,Southern,0.25
2014,Florida State,ACC,Notre Dame,FBS Independents,0.6153846153846154
2014,Arkansas,SEC,UAB,Conference USA,0.5
2014,Texas A&M,SEC,UL Monroe,Sun Belt,0.3333333333333333
2014,Vanderbilt,SEC,Old Dominion,Conference USA,0.5
2014,Ole Miss,SEC,Presbyterian,Big South,0.5454545454545454
2014,Mississippi State,SEC,UT Martin,OVC,0.5
2014,Penn State,Big Ten,Temple,American Athletic,0.5
